id,level,condition,breakthrough time,start point x,start point y,end point x,end point y,start time,end time,errors,undershoots,overshoots,direction changes,Has Coin,total time
0,1,Normal Momo Mode,0.0,250.0,473.88815,111.998405,408.6525,7581.0,14990.0,4,0,4,4,,7409.0
1,2,Normal Momo Mode,0.0,111.998405,408.6525,391.28992,275.84708,14990.0,23735.0,10,5,5,5,,8745.0
2,3,Normal Momo Mode,0.0,391.28992,275.84708,62.005108,225.7885,23735.0,29909.0,7,2,5,5,,6174.0
3,4,Normal Momo Mode,0.0,62.005108,225.7885,412.10648,178.28276,29909.0,35595.0,5,2,3,3,,5686.0
4,5,Normal Momo Mode,0.0,412.10648,178.28276,188.14494,203.55878,35595.0,38991.0,3,2,1,1,,3396.0
5,6,Normal Momo Mode,0.0,188.14494,203.55878,228.38673,360.1843,38991.0,43109.0,4,3,1,1,,4118.0
6,8,Normal Momo Mode,0.0,228.38673,360.1843,87.185844,354.71408,43109.0,49305.0,9,6,3,3,,6196.0
7,9,Normal Momo Mode,0.0,87.185844,354.71408,470.02493,387.64493,49305.0,53662.0,6,5,1,1,,4357.0
8,10,Normal Momo Mode,0.0,470.02493,387.64493,215.08641,347.27167,53662.0,59437.0,8,3,5,5,,5775.0
9,11,Normal Momo Mode,,215.08641,347.27167,,,59437.0,,,,,,,
